,source,target,total,count,source_num,target_num
7340,(kuwait oil company),(schlumberger),(kuwait oil company) (schlumberger),6,578,210
7550,chevron energy technology company,chevron argentina,chevron energy technology company chevron argentina,6,364,87
2876,university of calgary,university of adelaide,university of calgary university of adelaide,6,665,546
7732,down hole company cnpc chuanqing drilling company,petroleum engineering program university of houston,down hole company cnpc chuanqing drilling company petroleum engineering program university of houston,6,788,203
1634,state key laboratory of oil and gas reservoir geology and exploitation southwest petroleum university,china university of petroleum (east china),state key laboratory of oil and gas reservoir geology and exploitation southwest petroleum university china university of petroleum (east china),6,68,195
4722,innovative engineering systems global,centrica energy,innovative engineering systems global centrica energy,6,719,584
467,statoil canada ltd.,noetic engineering 2008 inc.,statoil canada ltd. noetic engineering 2008 inc.,6,10,511
4692,university of calgary,shell aret-adams,university of calgary shell aret-adams,6,665,371
7537,chevron argentina,chevron energy technology company,chevron argentina chevron energy technology company,6,87,364
1628,china university of petroleum (east china),state key laboratory of oil and gas reservoir geology and exploitation southwest petroleum university,china university of petroleum (east china) state key laboratory of oil and gas reservoir geology and exploitation southwest petroleum university,6,195,68
464,noetic engineering 2008 inc.,statoil canada ltd.,noetic engineering 2008 inc. statoil canada ltd.,6,511,10
4731,centrica energy,innovative engineering systems global,centrica energy innovative engineering systems global,6,584,719
4698,shell aret-adams,university of calgary,shell aret-adams university of calgary,6,371,665
7070,bp american inc,itasca consulting group inc.,bp american inc itasca consulting group inc.,6,247,322
538,school of chemical engineering oklahoma state university,school of chemical engineering oklahoma state university stillwater ok 74078,school of chemical engineering oklahoma state university school of chemical engineering oklahoma state university stillwater ok 74078,6,497,75
2285,bashkir state university,rn-yuganskneftegaz,bashkir state university rn-yuganskneftegaz,6,490,495
5313,ypf tecnologia sa,universidad tecnologica nacional,ypf tecnologia sa universidad tecnologica nacional,6,444,344
5304,universidad tecnologica nacional,ypf tecnologia sa,universidad tecnologica nacional ypf tecnologia sa,6,344,444
5462,petrobras/cenpes,puc-rio/dec,petrobras/cenpes puc-rio/dec,6,260,368
5464,petrobras/cenpes,csiro/arrc,petrobras/cenpes csiro/arrc,6,260,786
1928,drilling and production technology research institute qinghai oil field petrochina,state key laboratory of oil and gas reservoir geology and exploitation southwest petroleum university china,drilling and production technology research institute qinghai oil field petrochina state key laboratory of oil and gas reservoir geology and exploitation southwest petroleum university china,6,861,190
1922,state key laboratory of oil and gas reservoir geology and exploitation southwest petroleum university china,drilling and production technology research institute qinghai oil field petrochina,state key laboratory of oil and gas reservoir geology and exploitation southwest petroleum university china drilling and production technology research institute qinghai oil field petrochina,6,190,861
5474,puc-rio/dec,petrobras/cenpes,puc-rio/dec petrobras/cenpes,6,368,260
5141,china university of petroleum,university of north dakota,china university of petroleum university of north dakota,6,640,405
2250,rn-yuganskneftegaz,bashkir state university,rn-yuganskneftegaz bashkir state university,6,495,490
5484,csiro/arrc,petrobras/cenpes,csiro/arrc petrobras/cenpes,6,786,260
5138,university of north dakota,china university of petroleum,university of north dakota china university of petroleum,6,405,640
4995,anu,the university of new south wales,anu the university of new south wales,6,537,496
7224,fluminense federal university,bg group plc.,fluminense federal university bg group plc.,6,458,235
4992,the university of new south wales,anu,the university of new south wales anu,6,496,537
159,amec.,baker hughes inc,amec. baker hughes inc,6,25,518
156,amec.,adco,amec. adco,6,25,553
144,baker hughes inc,amec.,baker hughes inc amec.,6,518,25
129,adco,amec.,adco amec.,6,553,25
5608,nanjing university of science and technology,pla university of science and technology,nanjing university of science and technology pla university of science and technology,6,544,96
7623,baycroft consulting services,repsol,baycroft consulting services repsol,6,666,23
565,school of chemical engineering oklahoma state university stillwater ok 74078,school of chemical engineering oklahoma state university,school of chemical engineering oklahoma state university stillwater ok 74078 school of chemical engineering oklahoma state university,6,75,497
4817,university of hong kong,university of alberta,university of hong kong university of alberta,6,866,200
4808,university of alberta,university of hong kong,university of alberta university of hong kong,6,200,866
7599,repsol,baycroft consulting services,repsol baycroft consulting services,6,23,666
5614,pla university of science and technology,nanjing university of science and technology,pla university of science and technology nanjing university of science and technology,6,96,544
2877,university of adelaide,university of calgary,university of adelaide university of calgary,6,546,665
