	name	degree
675	pandit deendayal petroleum university	0
378	ipe ras	0
736	ruhr university bochum	0
145	university of tulsa drilling research projects	0
283	new mexico institute of mining and technology	0
267	ashaw energy	0
263	national institute for occupational safety and health	0
260	psl research university	0
666	jsc vniineft	0
397	university of johannesburg	0
751	hwu	0
245	hazama ando corporation	0
374	institute of geonics of the cas	0
721	mcclure geomechanics	0
720	geotechnical institute tu bergakademie freiberg	0
372	mugla sitki kocman university	0
351	jpt special publications editor	0
690	department of petroleum engineering federal university of technology	0
341	utrecht university	0
338	institute of geology and geophysics university of chinese academy of sciences	0
702	aramco services company: aramco research center	0
703	chevron etc	0
335	university of the ryukyus	0
334	chevron corporation	0
333	colorado school of mines reservoir characterization project	0
355	middle east technical university	0
356	reservoir geomechanics and seismicity research group	0
710	eth zurich	0
711	agh university of science and technology	0
318	itasca consulting group inc.	0
367	duke university	0
314	tarim oilfield company petrochina	0
718	mott macdonald	0
401	aalto university	0
404	schlumberger k.k. japan	0
241	llc gazpromneft science & technology center	0
639	metis/upmc	0
185	bureau of ocean energy management	0
182	liberty resources	0
461	pakistan petroleum limited	0
178	fritz industries inc.	0
797	zakum development company	0
463	agapito associates inc.	0
466	the national institute for occupational safety and health (niosh)	0
806	shell u.k. limited	0
625	mdeng	0
472	school of mining and petroleum engineering university of alberta	0
156	colorado school of mines unconventional natural gas and oil institute	0
155	school of earth sciences the ohio state university	0
812	the university of texas at el paso	0
153	graz university of technology institute of rock mechnaics and tunnelling	0
477	technische universitat bergakademie freiberg	0
816	metarock laboratories inc.	0
817	center for petroleum and geosystems engineering the university of texas at austin	0
456	canmetmining	0
786	united energy pakistan limited	0
658	indian institute of technology madras	0
785	korea institute of geoscience and mineral resources	0
230	university of chile	0
408	institute for geology and development of fossil fuels	0
410	tarim oilfield company of cnpc	0
417	all kfupm	0
652	lyles school of civil engineering purdue university	0
420	montana state university	0
215	bitcan geosciences & engineering inc.	0
771	university of calgary and ashaw energy	0
772	university of oulu	0
211	the university of texas	0
208	drillscan us	0
444	china university of mining & technology	0
205	llc bashnipineft	0
203	university of aberdeen	0
448	southern illinois university	0
195	ngi	0
784	chevron latin america business unit	0
738	fracgeo	0
